t_s	status	BIG	BIG_MID	MID	LITTLE	skin	soc	cap_cpu2	cap_cpu7	cd_big	cd_cpu2	cd_cpu0	mem_avail_kb
408	1	44.000004	43.000004	45.000004	45.000004	40.1117	42.913002	2284000	2707000	2303000	740000	999000	7533140
413	1	44.000004	43.000004	44.000004	44.000004	40.100338	42.325	2284000	2707000	2303000	740000	999000	7536700
418	1	44.000004	43.000004	43.000004	44.000004	40.093864	41.962	2400000	2707000	2396000	833000	999000	7535388
424	1	44.000004	43.000004	43.000004	44.000004	39.95195	41.693	2534000	2937000	2770000	963000	999000	7517336
429	1	43.000004	42.000004	43.000004	44.000004	39.815712	41.463	2688000	3168000	3277000	1198000	999000	7509456
434	1	43.000004	42.000004	43.000004	44.000004	39.677376	41.309002	2841000	3168000	3424000	1345000	999000	7557820
440	1	43.000004	42.000004	43.000004	43.000004	39.59437	41.115	2841000	3168000	3424000	1345000	999000	7559332
445	1	43.000004	42.000004	43.000004	43.000004	39.490356	40.996002	2937000	3398000	3798000	1561000	999000	7567188
450	1	43.000004	41.000004	42.000004	43.000004	39.31037	40.843002	3052000	3398000	3798000	1853000	999000	7563020
455	1	43.000004	42.000004	43.000004	43.000004	39.24558	40.730003	3052000	3398000	3798000	1853000	999000	7544880
461	1	43.000004	41.000004	42.000004	43.000004	39.16644	40.628002	3052000	3398000	3798000	1853000	999000	7537912
466	1	43.000004	41.000004	42.000004	43.000004	39.031933	40.523003	3052000	3782000	5471000	1853000	999000	7511832
471	1	43.000004	41.000004	42.000004	43.000004	38.955856	40.408	3052000	3782000	5471000	1853000	999000	7585076
477	1	42.000004	41.000004	42.000004	43.000004	38.92837	40.388	3052000	3782000	5471000	1853000	999000	7528800
482	1	42.000004	41.000004	42.000004	43.000004	38.85756	40.280003	3052000	3782000	5471000	1853000	999000	7518488
488	1	42.000004	42.000004	42.000004	42.000004	38.81507	40.159	3052000	3782000	5471000	1853000	999000	7524468
493	1	43.000004	41.000004	42.000004	42.000004	38.691116	40.048	3052000	3782000	5471000	1853000	999000	7518988
498	1	42.000004	41.000004	41.000004	42.000004	38.65721	39.993	3052000	3782000	5471000	1853000	999000	7499876
503	1	42.000004	41.000004	42.000004	42.000004	38.63687	39.915	3052000	3782000	5471000	1853000	999000	7494596
509	1	42.000004	41.000004	41.000004	42.000004	38.62554	39.816	3052000	3782000	5471000	1853000	999000	7491884
514	1	42.000004	41.000004	41.000004	42.000004	38.5924	39.733	3052000	3782000	5471000	1853000	999000	7534956
519	1	42.000004	41.000004	41.000004	42.000004	38.574043	39.658	3052000	3782000	5471000	1853000	999000	7590164
525	1	42.000004	42.000004	41.000004	42.000004	38.483208	39.616	3052000	3782000	5471000	1853000	999000	7583928
