t_s	status	BIG	BIG_MID	MID	LITTLE	skin	soc	cap_cpu2	cap_cpu7	cd_big	cd_cpu2	cd_cpu0	mem_avail_kb
549	1	60.000004	59.000004	61.000004	58.000004	40.18037	48.772003	1785000	2208000	1462000	388000	489000	3000452
554	1	60.000004	60.000004	62.000004	59.000004	40.1483	48.719	1785000	2208000	1462000	388000	489000	3098720
560	1	60.000004	60.000004	62.000004	58.000004	40.129055	48.696003	1785000	2208000	1462000	388000	489000	3106620
565	1	59.000004	60.000004	62.000004	58.000004	40.070225	48.653004	1785000	2208000	1462000	388000	489000	3099820
571	1	59.000004	60.000004	61.000004	58.000004	39.999275	48.613003	1785000	2208000	1462000	388000	609000	3076256
576	1	60.000004	59.000004	61.000004	58.000004	39.98331	48.586002	1785000	2208000	1462000	388000	609000	3086972
581	1	60.000004	59.000004	61.000004	58.000004	39.968212	48.539	1785000	2208000	1462000	388000	609000	3091444
587	1	60.000004	59.000004	61.000004	58.000004	39.974194	48.510002	1785000	2208000	1462000	388000	609000	3085828
592	1	60.000004	59.000004	61.000004	58.000004	39.965694	48.49	1785000	2208000	1462000	388000	609000	3082856
598	1	60.000004	60.000004	61.000004	59.000004	39.956238	48.493004	1785000	2208000	1462000	388000	867000	3079536
603	1	60.000004	60.000004	62.000004	59.000004	39.948677	48.512	1785000	2208000	1462000	388000	867000	3069612
609	1	60.000004	60.000004	62.000004	58.000004	39.94414	48.52	1785000	2208000	1462000	388000	867000	3065932
614	1	60.000004	60.000004	62.000004	58.000004	39.957314	48.519	1785000	2208000	1462000	388000	867000	3068288
620	1	60.000004	59.000004	61.000004	58.000004	39.93945	48.505	1785000	2208000	1462000	388000	999000	3059008
625	1	60.000004	60.000004	62.000004	58.000004	39.926952	48.500004	1785000	2208000	1462000	388000	999000	3062104
631	1	60.000004	60.000004	62.000004	59.000004	39.92675	48.539	1785000	2208000	1462000	388000	999000	3108652
636	1	61.000004	60.000004	62.000004	59.000004	39.926632	48.558002	1785000	2208000	1462000	388000	999000	3127204
642	1	60.000004	60.000004	62.000004	58.000004	39.973118	48.586002	1785000	2208000	1462000	388000	999000	3127452
647	1	60.000004	60.000004	62.000004	58.000004	40.007786	48.578003	1785000	2208000	1462000	388000	999000	3125740
653	1	61.000004	60.000004	62.000004	58.000004	40.022312	48.565002	1785000	2208000	1462000	388000	999000	3123344
658	1	60.000004	60.000004	62.000004	58.000004	40.023174	48.559002	1785000	2208000	1462000	388000	999000	3123492
664	1	60.000004	60.000004	61.000004	58.000004	40.02196	48.572002	1785000	2208000	1462000	388000	999000	3122812
669	1	60.000004	60.000004	62.000004	58.000004	40.02061	48.609	1785000	2208000	1462000	388000	999000	3123964
674	1	60.000004	60.000004	62.000004	58.000004	40.04484	48.642002	1785000	2208000	1462000	388000	999000	3125480
680	1	60.000004	60.000004	61.000004	59.000004	40.05938	48.666004	1785000	2208000	1462000	388000	999000	3130872
685	1	61.000004	60.000004	62.000004	58.000004	40.08536	48.666004	1785000	2208000	1462000	388000	999000	3125360
691	1	61.000004	60.000004	62.000004	60.000004	40.104313	48.778004	1785000	2208000	1462000	388000	999000	3079340
696	1	60.000004	60.000004	62.000004	58.000004	40.12763	48.783	1785000	2208000	1462000	388000	999000	3088656
702	1	53.000004	51.000004	52.000004	52.000004	40.141617	48.475002	1785000	2208000	1462000	388000	999000	3260108
707	1	51.000004	49.000004	49.000004	50.000004	40.166336	47.709003	1785000	2208000	1462000	388000	999000	5743608
712	1	48.000004	46.000004	47.000004	48.000004	40.1675	46.148003	1862000	2208000	1462000	480000	999000	7468108
717	1	46.000004	45.000004	45.000004	46.000004	40.154373	44.913002	1939000	2342000	1655000	535000	999000	7463040
723	1	45.000004	44.000004	45.000004	45.000004	40.11204	43.892002	1939000	2342000	1655000	535000	999000	7464204
728	1	44.000004	44.000004	44.000004	45.000004	40.0714	43.100002	2092000	2457000	1816000	585000	999000	7463964
733	1	44.000004	43.000004	44.000004	44.000004	40.053722	42.543003	2188000	2592000	2008000	647000	999000	7467920
739	1	44.000004	43.000004	43.000004	44.000004	40.049744	42.228	2284000	2707000	2303000	740000	999000	7465524
744	1	44.000004	43.000004	43.000004	44.000004	40.016506	41.778004	2284000	2707000	2303000	740000	999000	7468996
749	1	43.000004	42.000004	43.000004	44.000004	39.830547	41.519	2400000	2707000	2396000	833000	999000	7468992
755	1	43.000004	42.000004	43.000004	43.000004	39.65203	41.272003	2534000	2937000	2770000	963000	999000	7465924
760	1	43.000004	42.000004	43.000004	43.000004	39.506428	41.186	2688000	3168000	3277000	1198000	999000	7434568
765	1	43.000004	42.000004	43.000004	43.000004	39.419067	41.002003	2688000	3168000	3277000	1198000	999000	7433732
770	1	43.000004	41.000004	42.000004	43.000004	39.266174	40.925003	2841000	3168000	3424000	1345000	999000	7465520
776	1	43.000004	42.000004	42.000004	43.000004	39.119392	40.748	2937000	3398000	3798000	1561000	999000	7446684
781	1	43.000004	41.000004	42.000004	43.000004	39.014492	40.655003	3052000	3398000	3798000	1853000	999000	7441596
786	1	43.000004	43.000004	43.000004	43.000004	38.95155	40.510002	3052000	3398000	3798000	1853000	999000	7412960
791	1	42.000004	41.000004	42.000004	43.000004	38.83273	40.453003	3052000	3398000	3798000	1853000	999000	7400700
797	1	43.000004	41.000004	42.000004	43.000004	38.71866	40.309002	3052000	3782000	5471000	1853000	999000	7461904
802	1	42.000004	42.000004	42.000004	42.000004	38.61536	40.242	3052000	3782000	5471000	1853000	999000	7461188
807	1	42.000004	41.000004	42.000004	43.000004	38.486347	40.129	3052000	3782000	5471000	1853000	999000	7435600
813	1	42.000004	42.000004	42.000004	42.000004	38.446117	40.089	3052000	3782000	5471000	1853000	999000	7437584
818	1	43.000004	41.000004	42.000004	43.000004	38.395546	39.989002	3052000	3782000	5471000	1853000	999000	7456516
823	1	42.000004	41.000004	42.000004	42.000004	38.384167	39.953003	3052000	3782000	5471000	1853000	999000	7451032
829	1	42.000004	40.0	41.000004	42.000004	38.324696	39.813004	3052000	3782000	5471000	1853000	999000	7458632
834	1	42.000004	41.000004	41.000004	42.000004	38.220993	39.716003	3052000	3782000	5471000	1853000	999000	7461416
839	1	42.000004	40.0	41.000004	42.000004	38.16062	39.649002	3052000	3782000	5471000	1853000	999000	7432072
844	1	42.000004	40.0	41.000004	42.000004	38.122177	39.570004	3052000	3782000	5471000	1853000	999000	7430368
850	1	42.000004	40.0	41.000004	42.000004	38.11699	39.496002	3052000	3782000	5471000	1853000	999000	7499016
855	1	41.000004	40.0	41.000004	42.000004	38.11201	39.409	3052000	3782000	5471000	1853000	999000	7499592
860	1	42.000004	41.000004	41.000004	42.000004	38.052147	39.389004	3052000	3782000	5471000	1853000	999000	7458484
866	1	42.000004	40.0	41.000004	42.000004	38.012787	39.525	3052000	3782000	5471000	1853000	999000	7462716
871	1	42.000004	41.000004	41.000004	42.000004	37.997253	39.452003	3052000	3782000	5471000	1853000	999000	7466308
876	1	42.000004	40.0	41.000004	42.000004	37.933712	39.342003	3052000	3782000	5471000	1853000	999000	7431520
882	1	41.000004	40.0	41.000004	42.000004	37.865623	39.276	3052000	3782000	5471000	1853000	999000	7442296
